id,category,difficulty,question,expected_lesson,expected_notebook,expected_type,notes,split
70,LangChain,easy,What is LangChain?,w7d1,1_langchain-intro.ipynb,both,,tune
71,LangChain,medium,What is LCEL?,w7d1,2_langchain-expression-language.ipynb,both,,tune
72,RAG,easy,What is RAG?,w7d2,3_langchain-RAG.ipynb,both,,tune
73,RAG,medium,Why do we need RAG?,w7d2,3_langchain-RAG.ipynb,both,,holdout
74,RAG,medium,What is chunking?,w7d2,3_langchain-RAG.ipynb,both,,tune
75,RAG,medium,What is retrieval?,w7d2,3_langchain-RAG.ipynb,both,,tune
76,LangChain,medium,What is LangChain Memory?,w7d3,4_langchain-memory.ipynb,both,,holdout
77,Agents,medium,What are Retrieval Agents?,w7d3,5_langchain-retrieval-agents.ipynb,both,,holdout
78,Agents,medium,How do LangChain agents work?,w7d3,8_langchain-agents.ipynb,both,,holdout
79,LangChain,medium,What is streaming?,w7d4,9_langchain-streaming.ipynb,both,,tune
80,Multimodal,medium,What is CLIP?,w8d1,12_clip-text-image-search.ipynb,both,,holdout
81,Multimodal,hard,What is Multi-modal RAG?,w8d1,13_multi-modal-rag.ipynb,both,,tune
82,Evaluation,medium,What is BLEU?,w8d2,1_bleu-evaluation.ipynb,both,,holdout
83,Evaluation,medium,What is ROUGE?,w8d2,2_rouge-evaluation-untrained-vs-trained-llm.ipynb,both,,tune
84,Evaluation,hard,How do you evaluate a RAG system?,w8d2,4_evaluating-rag-giskard.ipynb,both,,tune
